fail,coll_s,use
http://opaquenamespace.org/ns/creator/CobbSamuelbuilder/contractor,building-or,
http://opaquenamespace.org/ns/creator/ChambersConstructionCompany,building-or,
http://opaquenamespace.org/ns/workType/Flumes,building-or,
http://opaquenamespace.org/ns/creator/SuttonWhitneyAandahlandFritsch,building-or,
http://opaquenamespace.org/ns/creator/RayDornignacq,building-or,
http://opaquenamespace.org/ns/creator/AnnandandKennedyArchitectsandEngineers,building-or,
http://opaquenamespace.org/ns/creator/KoonRaymondE,building-or,
http://opaquenamespace.org/ns/workType/Landscapearchitecture,building-or,
http://opaquenamespace.org/ns/workType/watertransportationcomplexes,building-or,
http://opaquenamespace.org/ns/workType/Cottages,building-or,
http://opaquenamespace.org/ns/creator/LeeseCrutcherLewis,building-or,
http://opaquenamespace.org/ns/workType/gates,building-or,
http://opaquenamespace.org/ns/creator/GeorgeAMooreandAssociates,building-or,
http://opaquenamespace.org/ns/creator/WPSmith,building-or,
http://opaquenamespace.org/ns/workType/electricsubstations,building-or,
http://opaquenamespace.org/ns/workType/Presbyterianchurches,building-or,
http://opaquenamespace.org/ns/workType/bathrooms,building-or,
http://opaquenamespace.org/ns/workType/ballroom,building-or,
http://opaquenamespace.org/ns/creator/MillCharlesB,building-or,
http://opaquenamespace.org/ns/workType/Streets,building-or,
http://opaquenamespace.org/ns/creator/OlsenJOManufacturingCompany,building-or,
http://opaquenamespace.org/ns/workType/basements,building-or,
http://opaquenamespace.org/ns/creator/BainWilliamJSr,building-or,
http://opaquenamespace.org/ns/workType/gardensopenspaces,building-or,
http://opaquenamespace.org/ns/workType/documents,building-or,
http://opaquenamespace.org/ns/creator/StevensJohnC,building-or,
http://opaquenamespace.org/ns/creator/WilliamsonLewis,building-or,
http://opaquenamespace.org/ns/workType/saltboxhouses,building-or,
http://opaquenamespace.org/ns/workType/furniture,building-or,
http://opaquenamespace.org/ns/creator/BalzhizerSederandRhodes,building-or,
http://opaquenamespace.org/ns/creator/GranzerHenry,building-or,
http://opaquenamespace.org/ns/creator/StevensKoon,building-or,
http://opaquenamespace.org/ns/workType/Architecture,building-or,
http://opaquenamespace.org/ns/workType/shipyardstructures,building-or,
http://opaquenamespace.org/ns/workType/capitols,building-or,
http://opaquenamespace.org/ns/workType/Diningrooms,building-or,
http://opaquenamespace.org/ns/workType/boathouses,building-or,
http://opaquenamespace.org/ns/creator/SobolG,building-or,
http://opaquenamespace.org/ns/workType/Methodistchurches,building-or,
http://opaquenamespace.org/ns/workType/sanctuariesreligiousbuildingspaces,building-or,
http://opaquenamespace.org/ns/workType/foursquarehouses,building-or,
http://opaquenamespace.org/ns/creator/StuartRIandSons,building-or,
http://opaquenamespace.org/ns/creator/KennethGunn,building-or,
http://opaquenamespace.org/ns/workType/croplands,building-or,
http://opaquenamespace.org/ns/workType/Balconies,building-or,
http://opaquenamespace.org/ns/workType/billiardrooms,building-or,
http://opaquenamespace.org/ns/creator/CaineMortonH,building-or,
http://opaquenamespace.org/ns/creator/VanderpoolDavid,building-or,
http://opaquenamespace.org/ns/workType/courtyards,building-or,
http://opaquenamespace.org/ns/workType/breweries,building-or,
http://opaquenamespace.org/ns/workType/utilitiesbuildings,building-or,
http://opaquenamespace.org/ns/workType/e,building-or,
http://opaquenamespace.org/ns/creator/2012,building-or,
http://opaquenamespace.org/ns/workType/gables,building-or,
http://opaquenamespace.org/ns/workType/Dormers,building-or,
http://opaquenamespace.org/ns/workType/signage,building-or,
http://opaquenamespace.org/ns/workType/halls,building-or,
http://opaquenamespace.org/ns/workType/Steppingstones,building-or,
http://opaquenamespace.org/ns/workType/baywindows,building-or,
http://opaquenamespace.org/ns/creator/WorksProgressAdministration,building-or,
http://opaquenamespace.org/ns/workType/treefarms,building-or,
http://opaquenamespace.org/ns/workType/Dams,building-or,
http://opaquenamespace.org/ns/workType/cityscapes,building-or,
http://opaquenamespace.org/ns/creator/JohnsonIan,building-or,
http://opaquenamespace.org/ns/workType/exteriorcoveredspaces,building-or,
http://opaquenamespace.org/ns/creator/BaumeandCutterarchitecturefirm,building-or,
http://opaquenamespace.org/ns/creator/JohansenPerry,building-or,
http://opaquenamespace.org/ns/creator/DavidsonPhotographCourtesyofOregonHistoricalSociety,building-or,
http://opaquenamespace.org/ns/creator/WoodHEandCompany,building-or,
http://opaquenamespace.org/ns/workType/Communitycenters,building-or,
http://opaquenamespace.org/ns/workType/floors,building-or,
http://opaquenamespace.org/ns/stylePeriod/Eclecticism,building-or,
http://opaquenamespace.org/ns/creator/WrightHowardSConstructionCompany,building-or,
http://opaquenamespace.org/ns/creator/AnnandBooneDrynanandHuffstutter,building-or,
http://opaquenamespace.org/ns/creator/PooleHarryCamden,building-or,
http://opaquenamespace.org/ns/workType/waterworks,building-or,
http://opaquenamespace.org/ns/workType/fireescapes,building-or,
http://opaquenamespace.org/ns/workType/Hotels,building-or,
http://opaquenamespace.org/ns/creator/FisherEmlerH,building-or,
http://opaquenamespace.org/ns/workType/accessorydoorhardware,building-or,
http://opaquenamespace.org/ns/workType/Newels,building-or,
http://opaquenamespace.org/ns/creator/LCrutcher,building-or,
http://opaquenamespace.org/ns/workType/uncoveredspaces,building-or,
http://opaquenamespace.org/ns/creator/BradyClifton,building-or,
http://opaquenamespace.org/ns/workType/enclosingstructuralelements,building-or,
http://opaquenamespace.org/ns/workType/fraternallodges,building-or,
http://opaquenamespace.org/ns/workType/granaries,building-or,
http://opaquenamespace.org/ns/creator/PattersonNewellGCompany,building-or,
http://opaquenamespace.org/ns/workType/Operahouses,building-or,
http://opaquenamespace.org/ns/workType/cupolas,building-or,
http://opaquenamespace.org/ns/creator/BenMaxwell,building-or,
http://opaquenamespace.org/ns/workType/Concerthalls,building-or,
http://opaquenamespace.org/ns/workType/hallinteriorspaces,building-or,
http://opaquenamespace.org/ns/workType/Fences,building-or,
http://opaquenamespace.org/ns/workType/Lighting,building-or,
http://opaquenamespace.org/ns/creator/BeilandHernantartists,building-or,
http://opaquenamespace.org/ns/creator/TeninoStoneCompanybuilder/contractor,building-or,
http://opaquenamespace.org/ns/workType/drugstores,building-or,
http://opaquenamespace.org/ns/workType/Woodwork,building-or,
http://opaquenamespace.org/ns/workType/Intentionalcommunities,building-or,
http://opaquenamespace.org/ns/workType/grocerystores,building-or,
http://opaquenamespace.org/ns/workType/shedsstoragestructures,building-or,
http://opaquenamespace.org/ns/workType/Advertisements,building-or,
http://opaquenamespace.org/ns/workType/Waterways,building-or,
http://opaquenamespace.org/ns/creator/VikConstructionCompanyfounded1948,building-or,
http://opaquenamespace.org/ns/workType/Mills,building-or,
http://opaquenamespace.org/ns/workType/Pergolas,building-or,
http://opaquenamespace.org/ns/workType/wallcomponents,building-or,
http://opaquenamespace.org/ns/workType/domes,building-or,
http://opaquenamespace.org/ns/stylePeriod/BaroqueRevival,building-or,
http://opaquenamespace.org/ns/workType/Bookstores,building-or,
http://opaquenamespace.org/ns/creator/BenMaxell,building-or,
http://opaquenamespace.org/ns/workType/guardstations,building-or,
http://opaquenamespace.org/ns/workType/dens,building-or,
http://opaquenamespace.org/ns/workType/entranceHalls,building-or,
http://opaquenamespace.org/ns/workType/Customhouses,building-or,
http://opaquenamespace.org/ns/workType/Canals,building-or,
http://opaquenamespace.org/ns/workType/vehiclestoragebuildings,building-or,
http://opaquenamespace.org/ns/workType/shelters,building-or,
http://opaquenamespace.org/ns/workType/Resorts,building-or,
http://opaquenamespace.org/ns/workType/haylofts,building-or,
http://opaquenamespace.org/ns/creator/MoyerAD,building-or,
http://opaquenamespace.org/ns/workType/structuralelements,building-or,
http://opaquenamespace.org/ns/creator/BentlyLM,building-or,
http://opaquenamespace.org/ns/creator/,building-or,
http://opaquenamespace.org/ns/creator/GillenChambersCompanybuilder/contractor,building-or,
http://opaquenamespace.org/ns/workType/roomsinteriorspaces,building-or,
http://opaquenamespace.org/ns/workType/dryersequipment,building-or,
http://opaquenamespace.org/ns/creator/MorinKennethL,building-or,
http://opaquenamespace.org/ns/creator/AnnanJohnDJrJr,building-or,
http://opaquenamespace.org/ns/workType/Floorplans,building-or,
http://opaquenamespace.org/ns/workType/dairystores,building-or,
http://opaquenamespace.org/ns/creator/ChrisitiansenThomas,building-or,
http://opaquenamespace.org/ns/workType/FireHydrants,building-or,
http://opaquenamespace.org/ns/workType/interiorwallcomponents,building-or,
http://opaquenamespace.org/ns/creator/FosterVogtCompanybuildercontractor,building-or,
http://opaquenamespace.org/ns/workType/Aerialviews,building-or,
http://opaquenamespace.org/ns/workType/transportationstructures,building-or,
http://opaquenamespace.org/ns/workType/finishhardwarehardware,building-or,
http://opaquenamespace.org/ns/workType/ranchhouses,building-or,
http://opaquenamespace.org/ns/workType/portraits,building-or,
http://opaquenamespace.org/ns/workType/Forts,building-or,
http://opaquenamespace.org/ns/subject/Campusscenes,uo-arch-photos,
http://opaquenamespace.org/ns/subject/SouthernPacificLines,uo-arch-photos,
http://opaquenamespace.org/ns/subject/UOJamSquadDancegroup,uo-arch-photos,
http://opaquenamespace.org/ns/subject/EdsCoed,uo-arch-photos,
http://opaquenamespace.org/ns/creator/GrazianoSmithSaverina,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Alumniandalumnae,uo-arch-photos,
http://opaquenamespace.org/ns/subject/ChineseStudentChoirUniversityofOregon,uo-arch-photos,
http://opaquenamespace.org/ns/subject/actors,uo-arch-photos,
http://opaquenamespace.org/ns/subject/YellowGarterBandMusicalgroup,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Clothinganddress,uo-arch-photos,
http://opaquenamespace.org/ns/subject/FriendshipFoundationforInternationalStudentsOrganization,uo-arch-photos,
http://opaquenamespace.org/ns/subject/InternationalStudentAssociationOrganization,uo-arch-photos,
http://opaquenamespace.org/ns/subject/DenbayaDrumandDance,uo-arch-photos,
http://opaquenamespace.org/ns/creator/EdrisMorrisionStudio,uo-arch-photos,
http://id.loc.gov/authorities/subjects/sh85141093http://opaquenamespace.org/ns/people/EvansRaymondO,uo-arch-photos,
http://opaquenamespace.org/ns/subject/AnimalHouse,uo-arch-photos,
http://opaquenamespace.org/ns/creator/Kenneil-Ellis,uo-arch-photos,
http://opaquenamespace.org/ns/subject/OntheRocksMusicalgroup,uo-arch-photos,
http://opaquenamespace.org/ns/subject/OregonBasketballBandMusicalgroup,uo-arch-photos,
http://opaquenamespace.org/ns/subject/GreenGarterBandMusicalgroup,uo-arch-photos,
http://opaquenamespace.org/ns/creator/PaslayJeff,uo-arch-photos,
http://opaquenamespace.org/ns/creator/UnderwoodandUnderwoodStudios,uo-arch-photos,
http://opaquenamespace.org/ns/creator/AustinLaurence,uo-arch-photos,
http://opaquenamespace.org/ns/creator/BraunKirkW,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Rally,uo-arch-photos,
http://opaquenamespace.org/ns/subject/OregonDanceTeam,uo-arch-photos,
http://opaquenamespace.org/ns/subject/documents,uo-arch-photos,
http://opaquenamespace.org/ns/people/KuskovaOlgaY,uo-arch-photos,
http://opaquenamespace.org/ns/creator/PorterOscarE,uo-arch-photos,
http://opaquenamespace.org/ns/subject/MindtheGap,uo-arch-photos,
http://opaquenamespace.org/ns/creator/LarsonJohn,uo-arch-photos,
http://opaquenamespace.org/ns/subject/UniversityofOregonROTC,uo-arch-photos,
http://opaquenamespace.org/ns/subject/UniversitiesandcollegesAlumniandalumnae,uo-arch-photos,
http://opaquenamespace.org/ns/people/JinnahNutaylaA,uo-arch-photos,
http://opaquenamespace.org/ns/people/NorrisGeorgeW/,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Trackandfieldathletes,uo-arch-photos,
http://opaquenamespace.org/ns/subject/TrackandField,uo-arch-photos,
http://opaquenamespace.org/ns/subject/RadioStations,uo-arch-photos,
http://opaquenamespace.org/ns/subject/SchulteMaryJaneA,uo-arch-photos,
http://opaquenamespace.org/ns/subject/DuckStreetDanceClub,uo-arch-photos,
http://opaquenamespace.org/ns/creator/WarpinskiTerry,uo-arch-photos,
http://opaquenamespace.org/ns/subject/PersonalBest,uo-arch-photos,
http://opaquenamespace.org/ns/creator/MargillAnita,uo-arch-photos,
http://opaquenamespace.org/ns/people/ReederAnnM,uo-arch-photos,
http://opaquenamespace.org/ns/subject/WiltshireEricS,uo-arch-photos,
http://opaquenamespace.org/ns/subject/CampusScenes,uo-arch-photos,
http://opaquenamespace.org/ns/subject/buildings,uo-arch-photos,
http://opaquenamespace.org/ns/creator/AllenJeff,uo-arch-photos,
http://opaquenamespace.org/ns/subject/automobiles,uo-arch-photos,
http://opaquenamespace.org/ns/subject/AhiruDaikoMusicalgroup,uo-arch-photos,
http://opaquenamespace.org/ns/people/Cooperfotos,uo-arch-photos,
http://opaquenamespace.org/ns/subject/UniversityofOregonAlumniandalumnae,uo-arch-photos,
http://opaquenamespace.org/ns/people/PietzoldKatherineA,uo-arch-photos,
http://opaquenamespace.org/ns/creator/PattersonSteve,uo-arch-photos,
http://opaquenamespace.org/ns/subject/students,uo-arch-photos,
http://opaquenamespace.org/ns/subject/OutdoorProgramUniversityofOregonUOBikeProgram,uo-arch-photos,
http://opaquenamespace.org/ns/localCollectionName/UniversityArchivesphotographs1890s2010sUARef4,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Signsandsignboards,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Womenathletes,uo-arch-photos,
http://opaquenamespace.org/ns/creator/IrvinClarenceJ,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Divisi,uo-arch-photos,
http://opaquenamespace.org/ns/creator/GibsonFrank,uo-arch-photos,
http://opaquenamespace.org/ns/people/HoltLinnas/people/AdairVeina,uo-arch-photos,
http://opaquenamespace.org/ns/subject/Collegeadministrators,uo-arch-photos,
http://opaquenamespace.org/ns/people/LombardNelli,uo-arch-photos,
http://opaquenamespace.org/ns/subject/personalBest,uo-arch-photos,
http://opaquenamespace.org/ns/subject/campusscenes,uo-arch-photos,
http://opaquenamespace.org/ns/culture/Roman,lowenstam,
http://opaquenamespace.org/ns/culture/AncientGreek,lowenstam,
http://opaquenamespace.org/ns/culture/Naxian?,lowenstam,
http://opaquenamespace.org/ns/workType/merrythoughtcups,lowenstam,
http://opaquenamespace.org/ns/subject/OdysseusLandscape#3,lowenstam,
http://opaquenamespace.org/ns/subject/OdysseyLandscape#7,lowenstam,
http://opaquenamespace.org/ns/stylePeriod/LateHelladicIA,lowenstam,
http://opaquenamespace.org/ns/subject/OdysseyLandscape#4,lowenstam,
http://opaquenamespace.org/ns/creator/Pausias,lowenstam,
http://opaquenamespace.org/ns/workType/giltsilverstrip,lowenstam,
http://opaquenamespace.org/ns/creator/Wakron,lowenstam,
http://opaquenamespace.org/ns/subject/OdysseusLandscape#2,lowenstam,
http://opaquenamespace.org/ns/culture/Pompeian,lowenstam,
http://opaquenamespace.org/ns/culture/Gallic,lowenstam,
http://opaquenamespace.org/ns/culture/MiddleApulian,lowenstam,
http://opaquenamespace.org/ns/culture/AncientEgyptian,lowenstam,
http://opaquenamespace.org/ns/subject/OdysseusLandscape#1,lowenstam,
http://opaquenamespace.org/ns/workType/circusesRomanareanas,lowenstam,
http://opaquenamespace.org/ns/subject/OdysseyLandscape#5,lowenstam,
http://opaquenamespace.org/ns/culture/Tyrrhenian,lowenstam,
http://opaquenamespace.org/ns/culture/Paestum,lowenstam,
http://opaquenamespace.org/ns/culture/Naples,lowenstam,
http://opaquenamespace.org/ns/creator/LaBondJean,osu-historical-images,
http://opaquenamespace.org/ns/publisher/ZartscorpIncBooks,artists-books,
http://opaquenamespace.org/ns/localCollectionName/GertrudeBassWarnerMemorialLibraryJapaneseArt,nosatsu,
http://opaquenamespace.org/ns/creator/ChaneyStephanieDresie,marketing-photos,
http://opaquenamespace.org/ns/creator/EngelhardtJim,marketing-photos,
